symbol,revenue_cagr,profit_cagr,revenue_growth_1y,roce,roe,profit_margins,opm,debt_to_equity,current_ratio,pe_ratio,price_to_book,promoter_holding,efficient,low_debt,strong_promoter,high_growth,profitable,label
BAJFINANCE,16.2,13.1,23.4,11.4,19.2,0.4368,,310.294,,28.2,166.0,55.91,0.0,0.0,1.0,1.0,1.0,1.0
DIXON,46.9,62.5,119.1,40.0,32.8,0.03254,4.0,29.663,,42.8,670.0,34.05,1.0,0.0,0.0,1.0,1.0,1.0
ASTRAL,4.2,4.7,3.4,19.7,14.9,0.08162,16.0,6.769,,81.0,141.0,55.85,1.0,0.0,1.0,0.0,1.0,1.0
POLYCAB,16.5,16.7,24.0,29.7,21.4,0.09724,14.0,2.089,1.86,39.4,704.0,66.21,1.0,0.0,1.0,1.0,1.0,1.0
TATAELXSI,5.8,1.3,5.0,60.0,39.3,0.15675001,21.0,6.257,,259.0,45.5,43.92,1.0,0.0,0.0,0.0,1.0,1.0
DMART,11.5,4.4,16.8,18.0,13.4,0.0434,7.0,7.031,,99.1,352.0,74.93,1.0,0.0,1.0,0.0,1.0,1.0
PERSISTENT,12.7,15.0,21.6,30.4,24.1,0.12427,19.0,5.535,2.604,45.8,453.0,31.26,1.0,0.0,0.0,0.0,1.0,1.0
COFORGE,14.6,5.4,33.8,20.3,16.0,0.07888,17.0,10.888,,32.4,206.0,30.16,1.0,0.0,0.0,0.0,1.0,1.0
SUZLON,22.5,-10.1,68.1,32.5,41.4,0.21564,18.0,5.051,,17.2,5.78,14.5,1.0,0.0,0.0,1.0,1.0,0.0
YESBANK,21.6,49.3,20.4,6.36,5.46,0.20492001,,,,17.7,16.0,20.19,0.0,0.0,0.0,1.0,1.0,0.0
PTC,0.7,26.4,-5.2,11.5,12.3,0.052010003,6.0,32.871,,7.86,197.0,16.22,0.0,0.0,0.0,0.0,1.0,0.0
PIDILITIND,3.7,17.7,6.1,29.8,23.0,0.16188,23.0,4.539,,56.0,93.9,69.94,1.0,0.0,1.0,0.0,1.0,1.0
AAVAS,13.6,10.1,18.3,9.91,13.9,0.42181,,307.971,,18.4,477.0,39.14,0.0,0.0,0.0,0.0,1.0,0.0
ALKYLAMINE,-2.2,-6.6,9.1,41.3,41.4,0.11769,26.0,,,35.6,105.0,71.98,1.0,0.0,1.0,0.0,1.0,1.0
LALPATHLAB,6.9,26.8,10.5,28.9,24.3,0.19840999,29.0,6.441,,40.6,143.0,55.03,1.0,0.0,1.0,0.0,1.0,1.0
METROPOLIS,5.1,0.5,10.2,14.7,11.5,0.10741,23.0,13.916,,50.0,69.1,49.75,0.0,0.0,1.0,0.0,1.0,0.0
FINPIPE,-2.0,47.2,-3.9,9.24,7.08,0.1265,13.0,0.359,,19.6,95.3,52.47,0.0,1.0,1.0,0.0,1.0,0.0
SAIL,-0.6,2.9,-2.7,6.76,4.54,0.025510002,10.0,57.763,,21.2,141.0,65.0,0.0,0.0,1.0,0.0,1.0,0.0
BHEL,7.3,-5.7,19.3,4.87,2.12,0.026730001,5.0,44.956,,106.0,70.1,63.17,0.0,0.0,1.0,0.0,1.0,0.0
HFCL,-5.0,-16.2,-9.0,7.55,4.42,0.013200001,10.0,41.391,,212.0,27.0,39.24,0.0,0.0,0.0,0.0,1.0,0.0
ABBOTINDIA,6.2,14.2,,28.0,22.0,,,0.0,,45.0,,75.0,,,,,,1.0
PAGEIND,10.9,8.5,,50.0,55.0,,,0.2,,70.0,,42.9,,,,,,1.0
HAVELLS,20.0,8.9,,24.8,17.7,,,0.1,,52.0,,59.4,,,,,,1.0
