symbol,market_cap,current_price,high___low,stock_p_e,book_value,dividend_yield,roce,roe,face_value,promoter_holding,total_assets,revenue_growth_yf,earnings_growth_yf,current_ratio_yf,debt_to_equity_yf,profit_margins,revenue_cagr_3y,revenue_growth_1y,profit_cagr_3y,opm,borrowings
BAJFINANCE,514506.0,827.0,1102.0,28.2,166.0,0.53,11.4,19.2,1.0,55.91,509961.0,0.064,-0.068,,310.294,0.4368,16.2,23.4,13.1,,
DIXON,60319.0,9920.0,18472.0,42.8,670.0,0.08,40.0,32.8,2.0,34.05,19651.0,0.021,0.476,,29.663,0.03254,46.9,119.1,62.5,4.0,1389.0
TITAN,363744.0,4097.0,4380.0,74.5,144.0,0.27,19.1,31.8,1.0,52.9,52030.0,0.433,0.608,,223.018,0.06306,14.2,18.4,0.9,11.0,12465.0
ASTRAL,41735.0,1554.0,1769.0,81.0,141.0,0.24,19.7,14.9,1.0,55.85,5198.0,0.103,-0.056,,6.769,0.08162,4.2,3.4,4.7,16.0,256.0
POLYCAB,103550.0,6878.0,8724.0,39.4,704.0,0.51,29.7,21.4,10.0,66.21,17171.0,0.461,0.359,1.86,2.089,0.09724,16.5,24.0,16.7,14.0,223.0
TATAELXSI,26422.0,4241.0,6735.0,259.0,45.5,1.77,60.0,39.3,10.0,43.92,466.0,0.015,-0.453,,6.257,0.15675001,5.8,5.0,1.3,21.0,0.0
VARUNBEV,,,,,,,,,,,,,,,,,,,,,
DMART,283876.0,4362.0,4950.0,99.1,352.0,0.0,18.0,13.4,10.0,74.93,26914.0,0.133,0.183,,7.031,0.0434,11.5,16.8,4.4,7.0,1609.0
PERSISTENT,82467.0,5228.0,6599.0,45.8,453.0,0.67,30.4,24.1,5.0,31.26,9890.0,0.234,0.168,2.604,5.535,0.12427,12.7,21.6,15.0,19.0,404.0
COFORGE,40747.0,1213.0,1994.0,32.4,206.0,1.25,20.3,16.0,2.0,30.16,13590.0,0.262,0.155,,10.888,0.07888,14.6,33.8,5.4,17.0,972.0
SUZLON,55479.0,40.8,74.3,17.2,5.78,0.0,32.5,41.4,2.0,14.5,15856.0,0.424,0.143,,5.051,0.21564,22.5,68.1,-10.1,18.0,397.0
RCOM,227.0,0.82,1.95,,-350.0,0.0,,,5.0,5.18,36376.0,-0.276,,,,0.0,-9.2,-6.5,,-27.0,47211.0
YESBANK,56076.0,17.9,24.3,17.7,16.0,0.0,6.36,5.46,2.0,20.19,430161.0,0.198,0.118,,,0.20492001,21.6,20.4,49.3,,
JPASSOCIAT,594.0,2.42,4.32,,-21.0,0.0,-2.03,,2.0,38.07,33257.0,-0.501,,,,-0.34719002,-7.2,-22.3,,-10.0,17467.0
UNITECH,1122.0,4.29,10.5,,-30.6,0.0,-47.9,,2.0,5.14,26459.0,0.912,,,,0.0,-9.0,-36.9,,110.0,7431.0
VIDEOCON,,,,,,,,,,,,,,,,,,,,,
DLFINDIA,,,,,,,,,,,,,,,,,,,,,
GMRINFRA,,,,,,,,,,,,,,,,,,,,,
IBULHSGFIN,,,,,,,,,,,,,,,,,,,,,
PTC,4890.0,165.0,207.0,7.86,197.0,7.08,11.5,12.3,10.0,16.22,13520.0,-0.005,-0.276,,32.871,0.052010003,0.7,-5.2,26.4,6.0,2264.0
KAYNES,23717.0,3538.0,7705.0,60.8,698.0,0.0,14.3,10.7,10.0,63.57,6733.0,0.216,0.089,,18.899,0.115389995,34.2,50.8,45.5,16.0,885.0
TDPOWERSYS,13488.0,863.0,933.0,61.4,61.5,0.14,30.4,22.3,2.0,58.51,1484.0,0.264,0.25,,3.717,0.13596,13.9,28.8,21.7,18.0,36.0
EPIGRAL,3812.0,884.0,2114.0,11.3,487.0,0.68,25.1,22.6,10.0,71.34,3236.0,-0.075,-0.626,,25.565,0.13971,5.0,32.8,0.4,24.0,537.0
WAAREEENER,88329.0,3071.0,3865.0,25.4,399.0,0.07,34.9,27.4,10.0,64.31,24625.0,1.188,1.013,,25.128,0.14819,29.6,26.4,57.0,24.0,2941.0
ZOMATO,,,,,,,,,,,,,,,,,,,,,
RELIANCE,1827560.0,1350.0,1612.0,23.8,648.0,0.41,9.69,8.4,10.0,50.41,2038946.0,0.104,0.006,,35.651,0.08122,3.2,7.1,1.5,17.0,374593.0
INFY,527551.0,1301.0,1728.0,18.3,205.0,3.31,37.5,28.8,5.0,15.14,160380.0,0.032,-0.053,1.812,10.531,0.16153999,1.9,3.9,1.9,24.0,8755.0
HDFCBANK,1155888.0,751.0,1020.0,15.5,364.0,1.46,7.51,14.4,1.0,25.52,4514741.0,0.264,0.115,,,0.26187,25.3,19.4,10.8,,
ASIANPAINT,208050.0,2169.0,2986.0,51.0,204.0,1.14,25.7,20.6,1.0,52.63,31349.0,0.037,-0.046,,17.609,0.11098,-0.6,-4.5,-3.7,18.0,3557.0
BAJAJFINSV,262602.0,1641.0,2195.0,26.8,479.0,0.06,11.0,13.4,1.0,60.78,707515.0,0.248,-0.007,,237.537,0.06583,18.0,21.3,11.4,37.0,392202.0
PIDILITIND,129623.0,1274.0,1575.0,56.0,93.9,0.79,29.8,23.0,1.0,69.94,13898.0,0.101,0.118,,4.539,0.16188,3.7,6.1,17.7,23.0,443.0
ABBOTINDIA,,,,,,,,,,74.99,,0.068,0.042,,4.549,0.22333999,6.2,9.6,14.2,,
PAGEIND,,,,,,,,,,46.12,,0.056,-0.074,,19.029,0.14711,1.6,8.0,8.5,,
BERGEPAINT,49234.0,422.0,605.0,43.9,53.9,0.9,24.9,20.3,1.0,75.0,9457.0,0.003,-0.079,,11.082,0.08997,3.2,3.2,11.2,15.0,697.0
RELAXO,,,,,,,,,,71.25,,0.002,-0.197,,10.214,0.06342,0.3,-3.6,3.3,,
AAVAS,9027.0,1139.0,2238.0,18.4,477.0,0.0,9.91,13.9,10.0,39.14,16519.0,0.178,0.156,,307.971,0.42181,13.6,18.3,10.1,,
ALKYLAMINE,6746.0,1319.0,2449.0,35.6,105.0,0.76,41.3,41.4,2.0,71.98,783.0,-0.046,-0.035,,,0.11769,-2.2,9.1,-6.6,26.0,87.0
LALPATHLAB,22263.0,1329.0,1771.0,40.6,143.0,0.9,28.9,24.3,10.0,55.03,2959.0,0.106,-0.066,,6.441,0.19840999,6.9,10.5,26.8,29.0,156.0
METROPOLIS,8744.0,422.0,566.0,50.0,69.1,0.24,14.7,11.5,2.0,49.75,1993.0,0.258,0.304,,13.916,0.10741,5.1,10.2,0.5,23.0,201.0
DEEPAKNITR,,,,,,,,,,,,,,,,,,,,,
FINPIPE,9871.0,159.0,238.0,19.6,95.3,1.26,9.24,7.08,2.0,52.47,6777.0,-0.103,0.237,,0.359,0.1265,-2.0,-3.9,47.2,13.0,21.0
SAIL,64089.0,155.0,168.0,21.2,141.0,1.03,6.76,4.54,10.0,65.0,134163.0,0.118,1.676,,57.763,0.025510002,-0.6,-2.7,2.9,10.0,33663.0
BHEL,86393.0,248.0,306.0,106.0,70.1,0.2,4.87,2.12,2.0,63.17,71972.0,0.164,1.872,,44.956,0.026730001,7.3,19.3,-5.7,5.0,10969.0
IDEA,92958.0,8.58,12.8,,-7.61,0.0,-1.93,,10.0,50.36,188548.0,0.019,,,,-0.55325,1.0,2.1,,42.0,233242.0
STERLINBIO,,,,,,,,,,24.64,,,,,,,,,,,
RPOWER,9363.0,22.6,76.5,33.1,39.9,0.0,6.15,-1.08,10.0,24.99,41587.0,0.011,-0.381,,92.224,0.03667,0.6,-3.7,,31.0,15232.0
DISHTV,468.0,2.54,6.55,,-18.8,0.0,,,1.0,4.04,2271.0,-0.198,,,,-0.71690005,-11.5,-15.2,,13.0,16.0
HFCL,10977.0,71.7,94.0,212.0,27.0,0.14,7.55,4.42,1.0,39.24,7959.0,0.196,0.314,,41.391,0.013200001,-5.0,-9.0,-16.2,10.0,1580.0
