symbol,roce,roe,revenue_cagr,profit_cagr,debt_to_equity,promoter_holding,pe_ratio,pe_penalty,valuation_score,compounder_score
SUNPHARMA,18.0,16.0,12.0,28.0,0.1,54.5,35.0,0,0.5,97.7
LTIM,35.0,30.0,18.0,15.0,0.0,68.6,28.0,0,1.206896551724138,92.5
NAUKRI,22.0,18.0,18.0,22.0,0.0,52.3,55.0,1,0.39285714285714285,88.0
TDPOWERSYS,30.4,22.3,13.9,21.7,0.2,58.5,61.4,1,0.48717948717948717,88.0
WAAREEENER,34.9,27.4,29.6,57.0,0.5,64.3,25.4,0,1.321969696969697,87.3
TITAN,19.1,35.0,14.2,0.9,0.1,52.9,85.0,1,0.22209302325581398,85.4
HINDUNILVR,22.0,18.0,5.0,3.0,0.0,61.9,55.0,1,0.39285714285714285,82.0
GODREJCP,18.0,16.0,8.0,12.0,0.2,63.2,40.0,0,0.43902439024390244,82.0
COLPAL,55.0,48.0,7.0,12.0,0.0,51.0,52.0,1,1.0377358490566038,82.0
DABUR,22.0,20.0,6.0,5.0,0.1,67.4,48.0,1,0.4489795918367347,82.0
BRITANNIA,48.0,55.0,8.0,14.0,0.3,50.6,52.0,1,0.9056603773584906,82.0
PIIND,22.0,20.0,8.0,10.0,0.1,52.0,28.0,0,0.7586206896551724,82.0
TORNTPHARM,22.0,20.0,10.0,15.0,0.3,71.3,38.0,0,0.5641025641025641,82.0
BAJAJFIN,12.0,20.0,28.0,25.0,3.5,54.7,28.0,0,0.41379310344827586,71.7
ASIANPAINT,25.7,20.6,-0.6,-3.7,0.2,52.6,51.0,1,0.4942307692307692,70.0
ZYDUSLIFE,18.0,16.0,12.0,18.0,0.1,74.9,22.0,0,0.782608695652174,67.7
APLLTD,20.0,18.0,12.0,15.0,0.2,66.0,18.0,0,1.0526315789473684,66.6
HCLTECH,28.0,24.0,14.0,11.0,0.1,60.8,22.0,0,1.2173913043478262,65.0
WIPRO,17.0,16.0,5.0,3.0,0.1,72.9,20.0,0,0.8095238095238095,59.9
DRREDDY,20.0,18.0,14.0,22.0,0.1,26.6,18.0,0,1.0526315789473684,57.6
EPIGRAL,25.1,22.6,5.0,0.4,0.4,71.3,11.3,0,2.040650406504065,57.4
BAJAJFINSV,11.0,13.4,18.0,11.4,2.4,60.8,26.8,0,0.39568345323741005,54.9
MUTHOOTFIN,14.0,22.0,18.0,20.0,2.8,73.4,14.0,0,0.9333333333333333,51.7
INFY,37.5,28.8,1.9,1.9,0.1,15.1,18.3,0,1.9430051813471503,47.1
KAYNES,14.3,10.7,34.2,45.5,0.6,63.6,60.8,1,0.23139158576051783,41.8
CHOLAFIN,10.0,18.0,25.0,28.0,4.5,50.3,22.0,0,0.43478260869565216,39.1
ZOMATO,5.0,4.0,65.0,80.0,0.0,0.0,220.0,1,0.02262443438914027,21.7
HDFCBANK,7.51,14.4,25.3,10.8,0.6,25.5,15.5,0,0.45515151515151514,19.8
RELIANCE,9.69,8.4,3.2,1.5,0.4,50.4,23.8,0,0.39072580645161287,8.8
